SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,GQESTIMATES2013,GQESTIMATES2014,GQESTIMATES2015,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015
050,3,6,01,019,Alabama,Cherokee County,25989,25986,25976,26080,26023,26084,25995,25859,-10,104,-57,61,-89,-136,55,221,245,232,261,250,110,309,334,340,329,315,-55,-88,-89,-108,-68,-65,3,2,8,7,8,8,44,165,29,143,-2,-84,47,167,37,150,6,-76,-2,25,-5,19,-27,5,290,290,290,290,290,290,290,8.4908560012,9.4044488801,8.9047536799,10.023233933,9.6424576696,11.871830337,12.820758881,13.050070048,12.634651203,12.149496664,-3.380974335,-3.416310001,-4.145316368,-2.61141727,-2.507038994,0.0768403258,0.3070840451,0.2686779128,0.3072255612,0.3085586454,6.3393268787,1.1131796634,5.488705932,-0.07680639,-3.239865777,6.4161672045,1.4202637084,5.7573838448,0.2304191709,-2.931307132
050,3,6,01,021,Alabama,Chilton County,43643,43631,43665,43739,43697,43795,43921,43943,34,74,-42,98,126,22,124,565,565,537,586,561,142,474,495,499,474,462,-18,91,70,38,112,99,8,24,9,17,22,22,47,-60,-116,21,20,-99,55,-36,-107,38,42,-77,-3,19,-5,22,-28,0,393,393,393,393,393,393,393,12.928470093,12.923738506,12.275408037,13.361302385,12.769735045,10.846185529,11.322567364,11.406757189,10.807606366,10.51625239,2.0822845636,1.6011711423,0.8686508481,2.553696019,2.253482655,0.5491739508,0.2058648612,0.3886069584,0.5016188609,0.5007739233,-1.372934877,-2.653369322,0.4800438897,0.4560171462,-2.253482655,-0.823760926,-2.44750446,0.8686508481,0.9576360071,-1.752708732
050,3,6,01,023,Alabama,Choctaw County,13859,13858,13841,13593,13543,13378,13289,13170,-17,-248,-50,-165,-89,-119,29,114,110,138,119,127,21,160,145,194,183,168,8,-46,-35,-56,-64,-41,1,-1,0,0,0,0,-23,-212,-10,-118,-17,-70,-22,-213,-10,-118,-17,-70,-3,11,-5,9,-8,-8,129,129,129,129,129,129,129,8.3108551433,8.1073113208,10.252219457,8.9248884389,9.5997581163,11.664358096,10.686910377,14.412540396,13.72482844,12.698892626,-3.353502953,-2.579599057,-4.160320939,-4.799940001,-3.09913451,-0.072902238,0,0,0,0,-15.45527448,-0.737028302,-8.76639055,-1.274984063,-5.291205261,-15.52817672,-0.737028302,-8.76639055,-1.274984063,-5.291205261
050,3,6,01,025,Alabama,Clarke County,25833,25840,25767,25570,25144,25116,24847,24675,-73,-197,-426,-28,-269,-172,49,259,292,269,249,247,46,299,286,291,297,313,3,-40,6,-22,-48,-66,1,3,4,4,5,5,-81,-159,-448,-8,-217,-139,-80,-156,-444,-4,-212,-134,4,-1,12,-2,-9,28,280,280,280,280,280,280,280,10.090188363,11.515557834,10.704337445,9.9673758581,9.9753644845,11.648518612,11.278936783,11.579785117,11.88879771,12.640846492,-1.558330249,0.2366210514,-0.875447672,-1.921421852,-2.665482008,0.1168747687,0.1577473676,0.159172304,0.2001481096,0.2019304552,-6.19436274,-17.66770517,-0.318344608,-8.686427957,-5.613666653,-6.077487972,-17.5099578,-0.159172304,-8.486279847,-5.411736198
050,3,6,01,027,Alabama,Clay County,13932,13932,13880,13670,13456,13467,13538,13555,-52,-210,-214,11,71,17,27,153,147,121,164,149,39,211,183,172,176,194,-12,-58,-36,-51,-12,-45,1,-1,0,1,1,1,-36,-148,-181,66,77,53,-35,-149,-181,67,78,54,-5,-3,3,-5,5,8,255,255,255,255,255,255,255,11.10707804,10.838310108,8.9885971103,12.145898908,10.999151072,15.317604356,13.492590135,12.777179363,13.034623218,14.321042336,-4.210526316,-2.654280027,-3.788582253,-0.88872431,-3.321891263,-0.072595281,0,0.0742859265,0.0740603592,0.0738198059,-10.74410163,-13.34513013,4.9028711511,5.7026476578,3.9124497103,-10.81669691,-13.34513013,4.9771570776,5.776708017,3.9862695161
050,3,6,01,029,Alabama,Cleburne County,14972,14972,14973,14971,14921,15028,15072,15018,1,-2,-50,107,44,-54,41,184,183,177,186,185,22,174,159,187,187,189,19,10,24,-10,-1,-4,0,0,0,0,0,0,-10,-55,-77,110,55,-47,-10,-55,-77,110,55,-47,-8,43,3,7,-10,-3,178,178,178,178,178,178,178,12.289607267,12.244078683,11.82009416,12.358803987,12.296444001,11.621693828,10.638297872,12.48789609,12.425249169,12.562313061,0.6679134384,1.6057808109,-0.66780193,-0.066445183,-0.265869059,0,0,0,0,0,-3.673523911,-5.151880102,7.3458212294,3.6544850498,-3.123961449,-3.673523911,-5.151880102,7.3458212294,3.6544850498,-3.123961449
050,3,6,01,031,Alabama,Coffee County,49948,49948,50177,50448,51173,50755,50831,51211,229,271,725,-418,76,380,168,677,622,617,614,616,77,508,492,519,476,519,91,169,130,98,138,97,48,90,195,138,144,160,92,19,390,-670,-183,113,140,109,585,-532,-39,273,-2,-7,10,16,-23,10,600,600,600,600,600,600,600,13.455900621,12.241564244,12.10658504,12.088279881,12.073459948,10.09689441,9.6830379548,10.183659053,9.3713700707,10.172282002,3.3590062112,2.5585262889,1.922925987,2.7169098104,1.9011779463,1.7888198758,3.8377894333,2.7077937368,2.8350363239,3.1359636228,0.3776397516,7.6755788666,-13.14653481,-3.602858662,2.2147743086,2.1664596273,11.5133683,-10.43874107,-0.767822338,5.3507379314
050,3,6,01,033,Alabama,Colbert County,54428,54428,54514,54443,54472,54471,54480,54354,86,-71,29,-1,9,-126,162,605,623,589,587,573,129,671,668,723,678,649,33,-66,-45,-134,-91,-76,9,32,22,28,38,38,45,-4,58,96,100,-6,54,28,80,124,138,32,-1,-33,-6,9,-38,-82,474,474,474,474,474,474,474,11.10529842,11.44011385,10.812993951,10.775486228,10.529797674,12.316785521,12.266446311,13.27299597,12.445961946,11.926420053,-1.2114871,-0.826332461,-2.460002019,-1.670475718,-1.396622379,0.5873876851,0.4039847588,0.5140302727,0.697561289,0.6983111895,-0.073423461,1.0650507276,1.7623895064,1.8356876027,-0.110259662,0.5139642244,1.4690354864,2.2764197792,2.5332488917,0.588051528
050,3,6,01,035,Alabama,Conecuh County,13228,13228,13208,13121,12996,12875,12662,12672,-20,-87,-125,-121,-213,10,34,158,144,152,140,146,13,189,170,192,158,183,21,-31,-26,-40,-18,-37,0,0,0,0,0,0,-37,-64,-98,-79,-187,34,-37,-64,-98,-79,-187,34,-4,8,-1,-2,-8,13,45,45,45,45,45,45,45,12.001975009,11.027300226,11.75060879,10.964482907,11.526012473,14.35679289,13.018340544,14.842874261,12.374202138,14.446988237,-2.354817881,-1.991040319,-3.092265471,-1.409719231,-2.920975764,0,0,0,0,0,-4.861559497,-7.504690432,-6.107224305,-14.64541645,2.6841398911,-4.861559497,-7.504690432,-6.107224305,-14.64541645,2.6841398911
050,3,6,01,037,Alabama,Coosa County,11539,11758,11758,11348,11195,11059,10807,10724,0,-410,-153,-136,-252,-83,21,95,107,86,96,91,11,163,140,133,108,106,10,-68,-33,-47,-12,-15,-1,-1,-1,-1,-1,0,-5,-392,-116,-48,-251,-58,-6,-393,-117,-49,-252,-58,-4,51,-3,-40,12,-10,338,338,338,338,338,265,266,8.2229723881,9.4929689926,7.7289476049,8.7807555108,8.4529283359,14.108889466,12.420707093,11.952907343,9.8783499497,9.8462681715,-5.885917078,-2.927738101,-4.223959738,-1.097594439,-1.393339836,-0.086557604,-0.088719336,-0.089871484,-0.091466203,0,-33.9305808,-10.29144302,-4.313831221,-22.95801701,-5.387580698,-34.01713841,-10.38016236,-4.403702705,-23.04948322,-5.387580698
050,3,6,01,039,Alabama,Covington County,37765,37765,37796,38060,37818,37830,37888,37835,31,264,-242,12,58,-53,102,463,412,476,441,449,92,489,479,518,490,508,10,-26,-67,-42,-49,-59,0,7,2,2,2,2,22,254,-175,28,140,-12,22,261,-173,30,142,-10,-1,29,-2,24,-35,16,575,575,575,575,575,575,575,12.207340224,10.859537679,12.584602369,11.648485169,11.859012453,12.89284961,12.625530457,13.69500846,12.942761299,13.417323667,-0.685509386,-1.765992778,-1.110406091,-1.29427613,-1.558311213,0.1845602194,0.0527162023,0.0528764805,0.0528275971,0.0528241089,6.6968993883,-4.612667703,0.7402707276,3.6979317996,-0.316944654,6.8814596077,-4.559951501,0.7931472081,3.7507593967,-0.264120545
050,3,6,01,041,Alabama,Crenshaw County,13906,13906,13853,13896,13951,13932,13948,13963,-53,43,55,-19,16,15,37,166,149,145,131,138,24,164,167,162,173,184,13,2,-18,-17,-42,-46,9,13,16,19,23,23,-72,24,55,-26,43,48,-63,37,71,-7,66,71,-3,4,2,5,-8,-10,132,132,132,132,132,132,132,11.964395113,10.70133228,10.400602518,9.3974175036,9.8885743972,11.820245775,11.994110676,11.619983502,12.410329986,13.184765863,0.1441493387,-1.292778396,-1.219380985,-3.012912482,-3.296191466,0.9369707016,1.1491363522,1.3628375713,1.649928264,1.6480957329,1.7297920646,3.9501562107,-1.864935624,3.0846484935,3.4395041382,2.6667627662,5.0992925629,-0.502098053,4.7345767575,5.087599871
050,3,6,01,043,Alabama,Cullman County,80406,80410,80473,80469,80374,80756,81221,82005,63,-4,-95,382,465,784,249,996,926,952,977,960,228,910,965,961,979,964,21,86,-39,-9,-2,-4,9,30,31,38,41,41,34,-113,-82,328,412,646,43,-83,-51,366,453,687,-1,-7,-5,25,14,101,1056,1056,1052,1049,1043,1032,1032,12.377129649,11.514333854,11.816545646,12.063441106,11.762831902,11.308421667,11.9992788,11.928256687,12.08813597,11.811843701,1.0687079818,-0.484944946,-0.111711041,-0.024694864,-0.0490118,0.3728051099,0.3854690599,0.4716688388,0.5062447138,0.5023709458,-1.404232581,-1.019627836,4.0712468193,5.0871420016,7.9154056339,-1.031427471,-0.634158776,4.5429156582,5.5933867154,8.4177765797
050,3,6,01,045,Alabama,Dale County,50251,50251,50358,50109,50324,49833,49501,49565,107,-249,215,-491,-332,64,173,692,705,646,667,653,75,470,451,492,512,519,98,222,254,154,155,134,46,59,226,130,123,154,-28,-540,-265,-763,-595,-253,18,-481,-39,-633,-472,-99,-9,10,0,-12,-15,29,917,917,917,917,917,917,917,13.775667632,14.03921022,12.899747397,13.429440071,13.183130438,9.3563060507,8.981111786,9.8245754166,10.308655647,10.477863243,4.4193615814,5.0580984338,3.07517198,3.1207844243,2.7052671956,1.1745150149,4.5005127797,2.5959243987,2.4764934464,3.1090384188,-10.74979844,-5.277149941,-15.23607936,-11.97978537,-5.107705974,-9.575283426,-0.776637161,-12.64015496,-9.503291924,-1.998667555
050,3,6,01,047,Alabama,Dallas County,43820,43820,43803,43178,42777,42021,41662,41131,-17,-625,-401,-756,-359,-531,130,583,585,511,584,572,76,544,505,555,532,530,54,39,80,-44,52,42,3,-4,-3,-2,-1,-1,-73,-680,-486,-710,-391,-608,-70,-684,-489,-712,-392,-609,-1,20,8,0,-19,36,786,786,856,856,857,856,857,13.405226429,13.611773602,12.052171042,13.957434604,13.817593275,12.508478863,11.750334477,13.089931366,12.714649331,12.803014748,0.8967475656,1.8614391251,-1.037760325,1.242785273,1.0145785272,-0.091974109,-0.069803967,-0.047170924,-0.023899717,-0.024156632,-15.63559858,-11.30824269,-16.74567796,-9.344789264,-14.68723201,-15.72757269,-11.37804665,-16.79284889,-9.368688981,-14.71138864
050,3,6,01,049,Alabama,DeKalb County,71109,71115,71142,71387,70942,70869,71012,71130,27,245,-445,-73,143,118,232,903,869,796,839,833,151,782,710,783,755,749,81,121,159,13,84,84,22,77,46,51,66,66,-71,21,-662,-124,19,2,-49,98,-616,-73,85,68,-5,26,12,-13,-26,-34,782,782,782,782,782,782,782,12.671105529,12.211144602,11.226209532,11.826812611,11.720673693,10.973205453,9.9768845422,11.042866914,10.642721717,10.538757018,1.6979000765,2.2342600594,0.183342618,1.1840908931,1.1819166749,1.0804818668,0.6463897027,0.7192671937,0.9303571303,0.928648816,0.2946768728,-9.302390939,-1.74880651,0.267830083,0.0281408732,1.3751587396,-8.656001237,-1.029539316,1.1981872132,0.9567896892
050,3,6,01,051,Alabama,Elmore County,79303,79296,79465,80012,80432,80883,81022,81468,169,547,420,451,139,446,235,967,960,986,934,948,189,708,662,752,753,758,46,259,298,234,181,190,10,35,59,44,45,56,102,258,66,142,-122,168,112,293,125,186,-77,224,11,-5,-3,31,35,32,5483,5483,5484,5509,5444,5419,5413,12.127140591,11.966792152,12.224529647,11.537630092,11.668410364,8.8790233074,8.2521004213,9.3233735239,9.3017510268,9.3298049111,3.2481172834,3.7146917304,2.9011561231,2.2358790649,2.3386054526,0.438934768,0.735459101,0.545516536,0.5558815355,0.689273186,3.23557629,0.8227169604,1.7605306388,-1.507056607,2.0678195581,3.674511058,1.5581760614,2.3060471748,-0.951175072,2.7570927442
050,3,6,01,053,Alabama,Escambia County,38319,38319,38309,38213,38034,37857,37784,37789,-10,-96,-179,-177,-73,5,121,486,444,440,429,438,63,440,480,447,452,446,58,46,-36,-7,-23,-8,2,2,2,2,2,2,-61,-132,-147,-183,-45,45,-59,-130,-145,-181,-43,47,-9,-12,2,11,-7,-34,3199,3199,3272,3275,3198,3281,3282,12.702229424,11.646359857,11.595577868,11.343054693,11.591441388,11.499960796,12.590659305,11.780052971,11.951190492,11.803157212,1.2022686286,-0.944299448,-0.184475102,-0.608135799,-0.211715824,0.0522725491,0.0524610804,0.0527071721,0.0528813739,0.0529289561,-3.449988239,-3.855889412,-4.82270625,-1.189830912,1.1909015124,-3.39771569,-3.803428332,-4.769999078,-1.136949538,1.2438304686
050,3,6,01,055,Alabama,Etowah County,104430,104427,104442,104236,104235,103852,103452,103057,15,-206,-1,-383,-400,-395,260,1252,1155,1145,1182,1168,288,1355,1408,1347,1444,1449,-28,-103,-253,-202,-262,-281,11,40,40,43,51,51,40,-106,215,-201,-179,-215,51,-66,255,-158,-128,-164,-8,-37,-3,-23,-10,50,2085,2085,2085,2085,2084,2085,2085,11.999348278,11.080677888,11.005012327,11.403542623,11.311855658,12.986515109,13.507873997,12.946507951,13.931231428,14.033286685,-0.987166831,-2.427196109,-1.941495624,-2.527688805,-2.721431027,0.3833657597,0.3837464204,0.4132886725,0.4920310269,0.4939252042,-1.015919263,2.0626370095,-1.93188426,-1.726932428,-2.082233704,-0.632553503,2.4463834298,-1.518595587,-1.234901401,-1.5883085
050,3,6,01,057,Alabama,Fayette County,17241,17241,17231,17062,16960,16857,16842,16759,-10,-169,-102,-103,-15,-83,42,186,164,186,198,186,39,256,255,237,210,229,3,-70,-91,-51,-12,-43,0,-2,-1,-1,-1,-1,-10,-86,-11,-63,5,-47,-10,-88,-12,-64,4,-48,-3,-11,1,12,-7,8,291,291,291,291,291,291,291,10.847694865,9.6408206455,11.000384422,11.751090537,11.071099074,14.930160674,14.990300394,14.01661886,12.463277842,13.63054671,-4.082465809,-5.349479748,-3.016234438,-0.712187305,-2.559447635,-0.11664188,-0.058785492,-0.059141852,-0.059348942,-0.059522038,-5.015600851,-0.646640409,-3.725936659,0.2967447105,-2.797535788,-5.132242732,-0.705425901,-3.785078511,0.2373957684,-2.857057826
050,3,6,01,059,Alabama,Franklin County,31704,31709,31734,31729,31648,31507,31592,31696,25,-5,-81,-141,85,104,120,419,406,432,429,434,66,418,381,409,375,366,54,1,25,23,54,68,6,54,63,74,89,90,-30,-52,-173,-254,-40,-76,-24,2,-110,-180,49,14,-5,-8,4,16,-18,22,272,272,272,272,272,272,272,13.20454438,12.812218944,13.680627029,13.597679836,13.715080268,13.173029954,12.023289206,12.952260312,11.886083773,11.566173682,0.0315144257,0.7889297379,0.7283667168,1.7115960633,2.1489065858,1.7017789893,1.9881029396,2.343440741,2.8209638822,2.8441410694,-1.638750138,-5.459393786,-8.043702003,-1.267848936,-2.401719125,0.0630288515,-3.471290847,-5.700261262,1.5531149464,0.4424219441
